,machine_speed,stock_flow,filler_flow,steam_pressure,moisture,ash,caliper,basis_weight,basis_weight_setpoint,future_basis_weight_5min,deviation_pct,stabilization_time_min
machine_speed,1.0,-0.7105778059763231,-0.7439641024780528,-0.6895650458918213,-0.7991903192153383,-0.7671812792318753,-0.7654070259169279,-0.5816747067431803,-0.43056428492598436,-0.5711766572603716,0.004901089681125438,0.06801419255190297
stock_flow,-0.7105778059763231,1.0,0.9832722131211163,0.9914764891425559,0.9530973884440164,0.9787067234888766,0.9830469888202148,0.729612108605703,0.5370920967784443,0.71737296787654,0.022680103541596868,-0.11008485384087677
filler_flow,-0.7439641024780528,0.9832722131211163,1.0,0.984346713007791,0.9613741169879492,0.9891791586999804,0.994046587532565,0.7363482268905233,0.5431461740768706,0.7245312983973733,-0.005085956394697782,-0.12627268265735372
steam_pressure,-0.6895650458918213,0.9914764891425559,0.984346713007791,1.0,0.9526430615524808,0.9810408498732668,0.9850962676405559,0.7310014247457377,0.5398156658320135,0.7197538927522348,0.019526572551065546,-0.11141150311879577
moisture,-0.7991903192153383,0.9530973884440164,0.9613741169879492,0.9526430615524808,1.0,0.9681739015154838,0.9698677715522729,0.7258977179306701,0.5373799244504212,0.7140225270178189,0.006896869359686006,-0.10797724514444267
ash,-0.7671812792318753,0.9787067234888766,0.9891791586999804,0.9810408498732668,0.9681739015154838,1.0,0.9936628290946821,0.7394720281072502,0.5471057246158028,0.7279600559512917,0.0018409346130348792,-0.11778683791217236
caliper,-0.7654070259169279,0.9830469888202148,0.994046587532565,0.9850962676405559,0.9698677715522729,0.9936628290946821,1.0,0.7421862917817182,0.5491653538129213,0.7305308628626473,-0.0006671770866549991,-0.12013877774152808
basis_weight,-0.5816747067431803,0.729612108605703,0.7363482268905233,0.7310014247457377,0.7258977179306701,0.7394720281072502,0.7421862917817182,1.0,0.964918559571779,0.99739511747295,-0.1214553211276202,-0.24637400032032553
basis_weight_setpoint,-0.43056428492598436,0.5370920967784443,0.5431461740768706,0.5398156658320135,0.5373799244504212,0.5471057246158028,0.5491653538129213,0.964918559571779,1.0,0.968776002989245,-0.16646602316118356,-0.26872396668347226
future_basis_weight_5min,-0.5711766572603716,0.71737296787654,0.7245312983973733,0.7197538927522348,0.7140225270178189,0.7279600559512917,0.7305308628626473,0.99739511747295,0.968776002989245,1.0,-0.12212742867458636,-0.2481683380338434
deviation_pct,0.004901089681125438,0.022680103541596868,-0.005085956394697782,0.019526572551065546,0.006896869359686006,0.0018409346130348792,-0.0006671770866549991,-0.1214553211276202,-0.16646602316118356,-0.12212742867458636,1.0,0.18765910593819513
stabilization_time_min,0.06801419255190297,-0.11008485384087677,-0.12627268265735372,-0.11141150311879577,-0.10797724514444267,-0.11778683791217236,-0.12013877774152808,-0.24637400032032553,-0.26872396668347226,-0.2481683380338434,0.18765910593819513,1.0
