,machine_speed,stock_flow,filler_flow,steam_pressure,moisture,ash,caliper,basis_weight_setpoint,basis_weight,machine_speed_min,machine_speed_max,stock_flow_min,stock_flow_max,filler_flow_min,filler_flow_max,steam_pressure_min,steam_pressure_max,moisture_min,moisture_max,ash_min,ash_max,caliper_min,caliper_max,deviation_pct,off_spec,basis_weight_lag_1,basis_weight_lag_5,basis_weight_change_5min,speed_change_5min,stock_flow_change_5min,future_basis_weight_5min,stabilization_time_min
machine_speed,1.0,-0.7105778059763231,-0.7439641024780528,-0.6895650458918213,-0.7991903192153383,-0.7671812792318753,-0.7654070259169279,-0.43056428492598436,-0.5816747067431803,,,,,,,,,,,,,,,0.004901089681125438,0.14984207194593496,-0.5833886052522812,-0.5902166815522714,0.0013991898867636303,0.1106076534074697,-0.0014064304011338848,-0.5711766572603716,0.06801419255190297
stock_flow,-0.7105778059763231,1.0,0.9832722131211163,0.9914764891425559,0.9530973884440164,0.9787067234888766,0.9830469888202148,0.5370920967784443,0.729612108605703,,,,,,,,,,,,,,,0.022680103541596868,-0.046568522668266735,0.730256026152271,0.7356290137671716,0.06120389426774066,8.618120758960975e-06,0.1040423315325222,0.71737296787654,-0.11008485384087677
filler_flow,-0.7439641024780528,0.9832722131211163,1.0,0.984346713007791,0.9613741169879492,0.9891791586999804,0.994046587532565,0.5431461740768706,0.7363482268905233,,,,,,,,,,,,,,,-0.005085956394697782,-0.0826167669201679,0.7381488195447394,0.7442653796296835,0.038044883803893065,-0.023292858758386638,0.04561949939324877,0.7245312983973733,-0.12627268265735372
steam_pressure,-0.6895650458918213,0.9914764891425559,0.984346713007791,1.0,0.9526430615524808,0.9810408498732668,0.9850962676405559,0.5398156658320135,0.7310014247457377,,,,,,,,,,,,,,,0.019526572551065546,-0.04557463792703377,0.7325353312447533,0.7378494177740511,0.05110110319513594,-0.0031096424085792235,0.06321663234102269,0.7197538927522348,-0.11141150311879577
moisture,-0.7991903192153383,0.9530973884440164,0.9613741169879492,0.9526430615524808,1.0,0.9681739015154838,0.9698677715522729,0.5373799244504212,0.7258977179306701,,,,,,,,,,,,,,,0.006896869359686006,-0.08208872947839216,0.7270226829894897,0.7328780440811684,0.04782752623622844,-0.02278773500775502,0.04990757547563127,0.7140225270178189,-0.10797724514444267
ash,-0.7671812792318753,0.9787067234888766,0.9891791586999804,0.9810408498732668,0.9681739015154838,1.0,0.9936628290946821,0.5471057246158028,0.7394720281072502,,,,,,,,,,,,,,,0.0018409346130348792,-0.08130330198823642,0.7414084359561899,0.7474622386707703,0.03755940487120103,-0.02460217929388115,0.050034434697508165,0.7279600559512917,-0.11778683791217236
caliper,-0.7654070259169279,0.9830469888202148,0.994046587532565,0.9850962676405559,0.9698677715522729,0.9936628290946821,1.0,0.5491653538129213,0.7421862917817182,,,,,,,,,,,,,,,-0.0006671770866549991,-0.08251837280646644,0.7439948844992769,0.7501100528984928,0.03896890184078921,-0.024246593734396263,0.049357103469199665,0.7305308628626473,-0.12013877774152808
basis_weight_setpoint,-0.43056428492598436,0.5370920967784443,0.5431461740768706,0.5398156658320135,0.5373799244504212,0.5471057246158028,0.5491653538129213,1.0,0.9649185595717792,,,,,,,,,,,,,,,-0.16646602316118356,-0.13478975842225197,0.964152276405969,0.9611248537123799,0.23554014452901828,-0.16617715738592542,0.2980881745795497,0.968776002989245,-0.26872396668347226
basis_weight,-0.5816747067431803,0.729612108605703,0.7363482268905233,0.7310014247457377,0.7258977179306701,0.7394720281072502,0.7421862917817182,0.9649185595717792,1.0,,,,,,,,,,,,,,,-0.1214553211276202,-0.12143246701911416,0.998018383694212,0.9972944821814452,0.22768116605795297,-0.14314602133084472,0.2562721212637222,0.99739511747295,-0.24637400032032553
machine_speed_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
