feature,mean_absolute_shap
numeric__basis_weight,5.2667246
numeric__basis_weight_lag_1,2.8261552
numeric__basis_weight_lag_5,0.7463194
numeric__steam_pressure,0.09317232
numeric__caliper,0.070344284
numeric__steam_pressure_position_from_max,0.069765545
categorical__transition_phase_pre_transition,0.06516188
categorical__grade_to_A,0.06053106
numeric__basis_weight_error,0.040648658
numeric__machine_speed,0.035804983
numeric__speed_stock_ratio,0.033720467
categorical__operator_action_corrective_setpoint_adjustment,0.030238597
numeric__caliper_position_from_max,0.027905596
categorical__grade_from_D,0.0275118
numeric__filler_flow,0.026872274
categorical__grade_from_A,0.02680038
numeric__stock_flow,0.021543963
categorical__grade_to_C,0.021015776
numeric__filler_stock_ratio,0.020090763
numeric__ash,0.019033734
numeric__basis_weight_change_5min,0.01838029
numeric__moisture,0.017785316
numeric__ash_position_from_max,0.017417397
numeric__basis_weight_setpoint,0.016961727
numeric__stock_flow_position,0.016822804
numeric__steam_pressure_position_from_min,0.015988776
numeric__filler_flow_position_from_max,0.014857894
numeric__stock_flow_position_from_max,0.014361024
numeric__stock_flow_change_5min,0.013901928
numeric__steam_moisture_ratio,0.013107084
numeric__speed_change_5min,0.011575399
numeric__caliper_position,0.011240925
numeric__moisture_position_from_max,0.00932228
categorical__grade_to_D,0.009312926
categorical__transition_phase_transition,0.008285174
numeric__filler_flow_position,0.0077563357
numeric__transition_phase_encoded,0.0071911593
numeric__caliper_position_from_min,0.006995584
numeric__machine_speed_position_from_max,0.00645501
numeric__ash_position,0.006410634
categorical__grade_from_C,0.0060844296
numeric__moisture_position,0.0057004956
categorical__transition_phase_stabilization,0.0055558924
numeric__steam_pressure_position,0.0052617467
numeric__machine_speed_position,0.005248919
categorical__grade_to_B,0.005055967
categorical__grade_from_B,0.0046903496
categorical__recipe_id_RCP_A,0.004543564
categorical__operator_action_none,0.0031976043
numeric__filler_flow_position_from_min,0.003081477
numeric__moisture_position_from_min,0.0028145683
numeric__machine_speed_position_from_min,0.0026773761
categorical__transition_phase_stable,0.001610912
numeric__stock_flow_position_from_min,0.0013224678
numeric__ash_position_from_min,0.0007542378
categorical__recipe_id_RCP_B,0.00043869636
numeric__basis_weight_error_direction,0.00025987587
categorical__recipe_id_RCP_C,0.00012284254
categorical__recipe_id_RCP_D,8.28288e-05
numeric__operator_adjustment_flag,2.2870943e-05
numeric__grade_changed,0.0
