transition_id,grade_from,grade_to,transition_outcome,average_stabilization_time_min,median_stabilization_time_min,average_deviation_pct,off_spec_rate,operator_action_rate,rows
GC0009,A,D,success,33.0,33.0,3.399191666666667,0.425,0.4,120
GC0094,A,D,success,35.0,35.0,3.1786833333333333,0.4083333333333333,0.38333333333333336,120
GC0177,A,D,success,38.0,38.0,3.2445083333333335,0.4166666666666667,0.4,120
GC0041,A,D,success,40.0,40.0,3.9925,0.5166666666666667,0.525,120
GC0113,A,D,success,42.0,42.0,3.416533333333333,0.4583333333333333,0.475,120
GC0146,A,D,success,42.0,42.0,3.80905,0.48333333333333334,0.4166666666666667,120
GC0023,A,D,success,48.0,48.0,3.7205250000000003,0.48333333333333334,0.55,120
GC0069,A,D,failure,51.0,51.0,2.9148750000000003,0.35,0.225,120
GC0001,A,D,failure,52.0,52.0,3.1169749999999996,0.36666666666666664,0.23333333333333334,120
GC0078,A,D,success,52.0,52.0,4.239333333333333,0.55,0.5166666666666667,120
GC0085,A,D,failure,53.0,53.0,2.79585,0.325,0.24166666666666667,120
GC0036,A,D,success,56.0,56.0,4.426699999999999,0.5833333333333334,0.55,120
GC0039,A,D,failure,59.0,59.0,3.0103999999999997,0.35,0.2916666666666667,120
GC0105,A,D,failure,59.0,59.0,3.7794166666666666,0.45,0.2916666666666667,120
GC0033,A,D,failure,60.0,60.0,3.5628249999999997,0.4083333333333333,0.3,120
GC0096,A,D,failure,63.0,63.0,2.9948833333333336,0.375,0.325,120
